,tempo,temperatura,duty
117,0,29.77,40
118,0,28.91,40
119,0,29.78,40
120,0,29.96,40
121,0,29.81,40
122,0,30.0,40
123,0,30.1,40
124,0,29.72,40
125,0,29.84,40
126,0,29.49,40
127,0,29.57,40
128,0,29.5,40
129,0,29.57,40
130,0,29.71,40
131,0,29.65,40
132,0,29.9,40
133,0,29.66,40
134,0,29.72,40
135,0,29.77,40
136,0,29.81,40
137,0,29.98,40
138,0,29.53,40
139,0,29.48,40
140,0,29.65,40
141,0,29.63,40
142,0,29.48,40
143,0,29.29,40
144,0,29.4,40
145,0,25.4,40
146,0,28.64,40
147,0,29.53,40
148,0,29.54,40
149,0,29.54,40
150,0,29.3,40
151,0,29.33,40
152,0,29.12,40
153,0,29.29,40
154,0,29.06,40
155,0,29.06,40
156,0,29.0,40
157,0,28.93,40
158,0,28.88,40
159,0,29.1,40
160,0,29.12,40
161,0,29.05,40
162,0,28.84,40
163,0,29.17,40
164,0,28.95,40
165,0,29.06,40
166,0,29.03,40
167,0,28.13,40
168,0,28.85,40
169,0,28.76,40
170,0,28.73,40
171,0,28.83,40
172,0,28.7,40
173,0,28.76,40
174,0,29.99,40
175,0,28.92,40
176,0,20.01,40
177,0,28.46,40
178,0,27.25,40
179,0,28.82,40
180,0,28.82,40
181,0,28.58,40
182,0,28.7,40
183,0,28.94,40
184,0,28.52,40
185,0,29.3,40
186,0,28.68,40
187,0,28.99,40
188,0,28.67,40
189,0,28.44,40
190,0,28.37,40
191,0,28.44,40
192,0,27.31,40
193,0,28.46,40
194,0,28.3,40
195,0,31.18,40
196,0,28.4,40
197,0,28.64,40
198,0,28.25,40
199,0,28.34,40
200,0,28.46,40
201,0,28.33,40
202,0,28.28,40
203,0,28.22,40
204,0,28.05,40
205,0,28.45,40
206,0,28.1,40
207,0,28.4,40
208,0,28.11,40
209,0,28.23,40
210,0,28.1,40
211,0,27.98,40
212,0,28.46,40
213,0,28.07,40
214,0,28.26,40
215,0,28.27,40
216,0,28.22,40
217,0,28.28,40
218,0,27.95,40
219,0,28.05,40
220,0,27.95,40
221,0,27.78,40
222,0,27.86,40
223,0,28.2,40
224,0,27.72,40
225,0,27.95,40
226,0,27.84,40
227,0,27.76,40
228,0,28.03,40
229,0,28.0,40
230,0,27.77,40
231,0,28.22,40
232,0,27.89,40
233,0,27.91,40
234,0,28.1,40
235,0,27.95,40
236,0,29.18,40
237,0,27.73,40
238,0,27.71,40
239,0,27.41,40
240,0,28.1,40
241,0,26.92,40
242,0,27.1,40
243,0,27.62,40
244,0,27.51,40
245,0,27.57,40
246,0,27.55,40
247,0,27.65,40
248,0,27.55,40
249,0,27.77,40
250,0,27.36,40
251,0,27.24,40
252,0,27.48,40
253,0,27.31,40
254,0,28.09,40
255,0,27.41,40
256,0,27.86,40
257,0,27.43,40
258,0,27.61,40
259,0,27.07,40
260,0,27.24,40
261,0,27.41,40
262,0,26.95,40
263,0,27.13,40
264,0,27.55,40
265,0,27.48,40
266,0,27.17,40
267,0,27.09,40
268,0,27.31,40
269,0,27.15,40
270,0,27.27,40
271,0,27.11,40
272,0,27.31,40
273,0,27.19,40
274,0,27.03,40
275,0,27.12,40
276,0,27.11,40
277,0,27.15,40
278,0,27.32,40
279,0,26.8,40
280,0,24.81,40
281,0,27.03,40
282,0,26.83,40
283,0,27.06,40
284,0,28.26,40
285,0,27.2,40
286,0,27.07,40
287,0,26.96,40
288,0,27.04,40
289,0,26.3,40
290,0,26.89,40
291,0,27.04,40
292,0,28.23,40
293,0,26.95,40
294,0,26.83,40
295,0,26.93,40
296,0,26.78,40
297,0,26.83,40
298,0,26.84,40
299,0,26.95,40
300,0,25.74,40
301,0,26.65,40
302,0,27.78,40
303,0,27.3,40
304,0,26.41,40
305,0,27.31,40
306,0,26.5,40
307,0,26.95,40
308,0,26.57,40
309,0,26.77,40
