Tempo,Temperatura
2441.57,22.1
2445.62,22.0
2449.67,22.1
2453.73,22.1
2457.78,22.1
2461.83,22.1
2465.88,22.1
2469.94,22.0
2473.99,22.0
2478.04,22.1
2482.09,22.0
2486.14,22.1
2490.2,22.0
2494.25,22.0
2498.3,22.0
2502.35,22.0
2506.4,21.9
2510.46,22.0
2514.51,22.2
2518.56,22.1
2522.62,22.0
2526.67,22.1
2530.72,22.0
2534.77,22.1
2538.83,22.0
2542.88,22.0
2546.93,22.0
2550.98,22.0
2555.04,22.1
2559.09,22.0
2563.14,22.0
2567.19,22.0
2571.24,22.1
2575.3,22.0
2579.35,22.0
2583.4,22.1
2587.45,22.1
2591.51,22.0
2595.56,22.0
2599.61,22.0
2603.67,22.0
2607.72,22.0
2611.77,22.0
2615.82,22.1
2619.88,22.1
2623.93,22.0
2627.98,22.0
2632.03,22.1
2636.08,22.1
2640.13,22.0
2644.18,22.0
2648.23,22.0
2652.28,22.0
2656.34,22.0
2660.39,22.0
2664.44,22.0
2668.49,22.1
2672.55,22.1
2676.6,22.0
2680.65,22.1
2684.7,22.1
2688.76,22.1
2692.81,22.1
2696.86,22.0
2700.92,22.0
2704.97,22.1
2709.02,22.0
2713.07,22.2
2717.13,22.0
2721.18,22.0
2725.23,22.1
2729.28,22.1
2733.34,22.0
2737.39,22.1
2741.44,22.0
2745.49,22.0
2749.54,22.2
2753.6,22.1
2757.65,22.0
2761.7,22.0
2765.75,22.1
2769.8,22.1
2773.86,22.0
2777.91,22.1
2781.96,22.0
2786.01,22.1
2790.06,22.2
2794.11,22.2
2798.16,22.2
2802.21,22.3
2806.27,22.2
2810.32,22.2
2814.37,22.3
2818.42,22.3
2822.48,22.2
2826.53,22.3
